https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTT,Volume USDT,tradecount
1602633600000,2020-10-14 00:00:00,BTT/USDT,0.00034450,0.00034830,0.00032290,0.00033010,12078682918.00000000,4044939.03206910,11556
1602547200000,2020-10-13 00:00:00,BTT/USDT,0.00035140,0.00035720,0.00034030,0.00034440,16832902705.00000000,5846999.97795580,10517
1602460800000,2020-10-12 00:00:00,BTT/USDT,0.00034740,0.00035800,0.00033880,0.00035100,26907064248.00000000,9342745.97937100,12955
1602374400000,2020-10-11 00:00:00,BTT/USDT,0.00036420,0.00036480,0.00034600,0.00034760,13651268867.00000000,4842671.88465470,9634
1602288000000,2020-10-10 00:00:00,BTT/USDT,0.00034310,0.00036680,0.00034280,0.00036450,21965611517.00000000,7696500.74231480,12960
1602201600000,2020-10-09 00:00:00,BTT/USDT,0.00033010,0.00035780,0.00032770,0.00034320,33772402813.00000000,11541953.50020450,17591
1602115200000,2020-10-08 00:00:00,BTT/USDT,0.00032170,0.00033250,0.00031190,0.00032970,24362679828.00000000,7854650.95551990,9963
1602028800000,2020-10-07 00:00:00,BTT/USDT,0.00031210,0.00032500,0.00030340,0.00032180,29693586725.00000000,9333056.15020870,10282
1601942400000,2020-10-06 00:00:00,BTT/USDT,0.00032870,0.00033000,0.00031000,0.00031130,29784130325.00000000,9571533.61667150,11380
1601856000000,2020-10-05 00:00:00,BTT/USDT,0.00032940,0.00033420,0.00032390,0.00032860,24518924347.00000000,8060797.76042540,7818
1601769600000,2020-10-04 00:00:00,BTT/USDT,0.00033010,0.00033260,0.00032300,0.00032960,25353599536.00000000,8289812.93837720,7937
1601683200000,2020-10-03 00:00:00,BTT/USDT,0.00033200,0.00033950,0.00032970,0.00033030,21055697735.00000000,7038275.15451990,7877
1601596800000,2020-10-02 00:00:00,BTT/USDT,0.00033360,0.00034210,0.00031000,0.00033190,22690795723.00000000,7360174.70416060,11694
1601510400000,2020-10-01 00:00:00,BTT/USDT,0.00033490,0.00035550,0.00032080,0.00033320,28558924024.00000000,9719209.66135540,15677
1601424000000,2020-09-30 00:00:00,BTT/USDT,0.00030990,0.00034470,0.00030500,0.00033500,34443931026.00000000,11081138.04826360,16627
1601337600000,2020-09-29 00:00:00,BTT/USDT,0.00029720,0.00031420,0.00029390,0.00030990,23638890349.00000000,7218470.11856790,12896
1601251200000,2020-09-28 00:00:00,BTT/USDT,0.00030370,0.00031240,0.00029650,0.00029760,26424755096.00000000,8103615.60718660,10220
1601164800000,2020-09-27 00:00:00,BTT/USDT,0.00030830,0.00031250,0.00029870,0.00030340,20724362793.00000000,6293523.48648810,8557
1601078400000,2020-09-26 00:00:00,BTT/USDT,0.00031000,0.00031980,0.00030740,0.00030900,25156425257.00000000,7843986.61872110,12425
1600992000000,2020-09-25 00:00:00,BTT/USDT,0.00030290,0.00031140,0.00029430,0.00030990,35851188898.00000000,10836815.34942690,13919
1600905600000,2020-09-24 00:00:00,BTT/USDT,0.00028530,0.00030300,0.00028400,0.00030300,20188912192.00000000,5939332.93199350,11730
1600819200000,2020-09-23 00:00:00,BTT/USDT,0.00029840,0.00030700,0.00028500,0.00028520,14514624488.00000000,4304510.23801780,13491
1600732800000,2020-09-22 00:00:00,BTT/USDT,0.00029700,0.00030250,0.00029000,0.00029830,13594251924.00000000,4029298.68527080,10752
1600646400000,2020-09-21 00:00:00,BTT/USDT,0.00032920,0.00033120,0.00028990,0.00029710,12129803521.00000000,3844473.44036420,10992
1600560000000,2020-09-20 00:00:00,BTT/USDT,0.00033380,0.00033670,0.00032310,0.00032920,16253834975.00000000,5377722.85556590,10176
1600473600000,2020-09-19 00:00:00,BTT/USDT,0.00033190,0.00034240,0.00032860,0.00033430,16943283233.00000000,5683821.20151100,13727
1600387200000,2020-09-18 00:00:00,BTT/USDT,0.00033240,0.00034450,0.00032820,0.00033160,21901821116.00000000,7346419.12958320,18977
1600300800000,2020-09-17 00:00:00,BTT/USDT,0.00033230,0.00034560,0.00032050,0.00033230,15207291807.00000000,5050939.86138510,16021
1600214400000,2020-09-16 00:00:00,BTT/USDT,0.00033280,0.00033990,0.00031940,0.00033260,22258519661.00000000,7310089.91725400,20084
1600128000000,2020-09-15 00:00:00,BTT/USDT,0.00034620,0.00035140,0.00033180,0.00033290,17438832353.00000000,5953665.59256970,15603
1600041600000,2020-09-14 00:00:00,BTT/USDT,0.00033990,0.00035550,0.00033130,0.00034620,19940406018.00000000,6936125.79132100,17569
1599955200000,2020-09-13 00:00:00,BTT/USDT,0.00036070,0.00036350,0.00033130,0.00033990,17176809300.00000000,6031352.93645580,16851
1599868800000,2020-09-12 00:00:00,BTT/USDT,0.00035900,0.00036900,0.00035210,0.00036060,17965596160.00000000,6465551.15316580,17792
1599782400000,2020-09-11 00:00:00,BTT/USDT,0.00035570,0.00036990,0.00034470,0.00035940,20780849537.00000000,7426960.05993130,22805
