https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DASH,Volume USDT,tradecount
1603324800000,2020-10-22 00:00:00,DASH/USDT,74.73000000,77.95000000,74.04000000,74.98000000,101514.41465000,7714586.75135990,30629
1603238400000,2020-10-21 00:00:00,DASH/USDT,70.65000000,77.14000000,70.38000000,74.73000000,116971.25433000,8712823.77114140,37514
1603152000000,2020-10-20 00:00:00,DASH/USDT,74.95000000,77.50000000,70.22000000,70.65000000,198990.03614000,14693108.22264760,53224
1603065600000,2020-10-19 00:00:00,DASH/USDT,67.30000000,78.57000000,66.13000000,74.93000000,213179.35771000,15573540.34410610,70471
1602979200000,2020-10-18 00:00:00,DASH/USDT,67.31000000,67.34000000,66.51000000,67.29000000,20561.61781000,1376145.66578000,6777
1602892800000,2020-10-17 00:00:00,DASH/USDT,66.11000000,67.52000000,65.25000000,67.33000000,41132.36407000,2719415.71104120,10361
1602806400000,2020-10-16 00:00:00,DASH/USDT,69.27000000,70.07000000,65.41000000,66.06000000,69086.25891000,4615464.30844800,19174
1602720000000,2020-10-15 00:00:00,DASH/USDT,70.04000000,70.46000000,68.07000000,69.27000000,44488.21276000,3081758.13545960,12216
1602633600000,2020-10-14 00:00:00,DASH/USDT,71.28000000,72.10000000,68.96000000,70.05000000,59447.33296000,4183614.20500610,16850
1602547200000,2020-10-13 00:00:00,DASH/USDT,71.64000000,73.47000000,70.43000000,71.23000000,55479.72254000,3982423.96751840,16708
1602460800000,2020-10-12 00:00:00,DASH/USDT,71.70000000,74.51000000,69.97000000,71.66000000,117879.61695000,8546267.01037200,30482
1602374400000,2020-10-11 00:00:00,DASH/USDT,67.89000000,72.57000000,67.67000000,71.71000000,92053.86309000,6500619.00509030,23560
1602288000000,2020-10-10 00:00:00,DASH/USDT,67.27000000,69.34000000,67.27000000,67.92000000,66528.35830000,4552558.61780410,17503
1602201600000,2020-10-09 00:00:00,DASH/USDT,66.38000000,67.84000000,65.79000000,67.27000000,54767.81538000,3669746.98297380,14262
1602115200000,2020-10-08 00:00:00,DASH/USDT,65.91000000,67.34000000,64.18000000,66.34000000,62003.42310000,4086469.53848990,17277
1602028800000,2020-10-07 00:00:00,DASH/USDT,65.24000000,66.26000000,64.07000000,65.94000000,43924.68321000,2875144.97284400,11994
1601942400000,2020-10-06 00:00:00,DASH/USDT,67.17000000,68.35000000,64.61000000,65.28000000,65797.61288000,4377342.47627640,17019
1601856000000,2020-10-05 00:00:00,DASH/USDT,66.39000000,67.28000000,65.59000000,67.15000000,37964.63090000,2516937.21096940,8430
1601769600000,2020-10-04 00:00:00,DASH/USDT,65.59000000,66.82000000,64.93000000,66.39000000,36006.25321000,2381719.63608590,8331
1601683200000,2020-10-03 00:00:00,DASH/USDT,65.93000000,66.60000000,65.46000000,65.60000000,32303.80976000,2132215.38082550,7627
1601596800000,2020-10-02 00:00:00,DASH/USDT,67.93000000,68.79000000,63.86000000,65.95000000,71495.95848000,4713585.95326010,20708
