https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XMR,Volume USDT,tradecount
1602547200000,2020-10-13 00:00:00,XMR/USDT,129.00000000,131.91000000,123.48000000,127.97000000,143964.68321000,18324057.83116360,41345
1602460800000,2020-10-12 00:00:00,XMR/USDT,125.81000000,147.41000000,125.04000000,129.00000000,295707.60391000,38736606.99771000,83565
1602374400000,2020-10-11 00:00:00,XMR/USDT,115.81000000,129.30000000,115.39000000,125.81000000,169285.44181000,20670746.91291870,48075
1602288000000,2020-10-10 00:00:00,XMR/USDT,115.91000000,118.79000000,115.06000000,115.88000000,107677.61125000,12611220.35436260,26540
1602201600000,2020-10-09 00:00:00,XMR/USDT,111.30000000,118.14000000,108.35000000,115.92000000,190546.75779000,21672929.30586050,43768
1602115200000,2020-10-08 00:00:00,XMR/USDT,110.27000000,112.93000000,107.49000000,111.36000000,168156.87447000,18553399.49026650,42499
1602028800000,2020-10-07 00:00:00,XMR/USDT,106.44000000,112.89000000,102.15000000,110.29000000,182143.74304000,19683864.65434500,46966
1601942400000,2020-10-06 00:00:00,XMR/USDT,112.78000000,113.89000000,105.31000000,106.43000000,180700.12474000,19980392.06528780,44446
1601856000000,2020-10-05 00:00:00,XMR/USDT,105.46000000,114.52000000,104.11000000,112.73000000,145697.92787000,15711163.79597570,40032
1601769600000,2020-10-04 00:00:00,XMR/USDT,103.56000000,109.45000000,101.23000000,105.46000000,95787.39913000,10114679.03230540,24368
1601683200000,2020-10-03 00:00:00,XMR/USDT,101.66000000,103.99000000,100.62000000,103.58000000,70280.38961000,7198479.68772500,17853
1601596800000,2020-10-02 00:00:00,XMR/USDT,103.86000000,105.43000000,93.52000000,101.61000000,184975.12765000,18356732.55221030,54716
1601510400000,2020-10-01 00:00:00,XMR/USDT,108.60000000,113.36000000,101.43000000,103.74000000,270245.94694000,29186053.52484450,66600
1601424000000,2020-09-30 00:00:00,XMR/USDT,100.47000000,110.47000000,97.68000000,108.60000000,209871.01799000,21760190.38184410,44767
1601337600000,2020-09-29 00:00:00,XMR/USDT,95.11000000,101.25000000,94.25000000,100.51000000,111246.74874000,10832388.47133170,23984
1601251200000,2020-09-28 00:00:00,XMR/USDT,97.14000000,98.77000000,94.43000000,95.12000000,91779.64988000,8900730.06746260,21229
1601164800000,2020-09-27 00:00:00,XMR/USDT,94.55000000,100.00000000,93.51000000,97.09000000,127456.86482000,12356112.58545810,29434
1601078400000,2020-09-26 00:00:00,XMR/USDT,92.97000000,95.47000000,92.24000000,94.63000000,61474.28290000,5767964.79705190,13982
