https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZEC,Volume USDT,tradecount
1602720000000,2020-10-15 00:00:00,ZEC/USDT,68.77000000,68.79000000,65.37000000,68.24000000,303582.74722000,20436404.06419910,49956
1602633600000,2020-10-14 00:00:00,ZEC/USDT,70.09000000,71.39000000,67.19000000,68.75000000,219596.07984000,15203127.61520980,40855
1602547200000,2020-10-13 00:00:00,ZEC/USDT,72.90000000,73.37000000,68.33000000,70.07000000,272774.58647000,19319698.25967710,46925
1602460800000,2020-10-12 00:00:00,ZEC/USDT,72.46000000,75.75000000,70.23000000,72.93000000,398286.09967000,29216373.61930530,72013
1602374400000,2020-10-11 00:00:00,ZEC/USDT,66.76000000,73.60000000,66.34000000,72.46000000,408660.08299000,28633679.72192850,69230
1602288000000,2020-10-10 00:00:00,ZEC/USDT,63.50000000,67.77000000,63.45000000,66.79000000,246236.40595000,16085674.04707870,42217
1602201600000,2020-10-09 00:00:00,ZEC/USDT,61.98000000,65.05000000,60.20000000,63.52000000,258915.82694000,16194052.74383120,43484
1602115200000,2020-10-08 00:00:00,ZEC/USDT,61.49000000,63.39000000,58.77000000,61.99000000,193793.52854000,11882942.14209360,34755
1602028800000,2020-10-07 00:00:00,ZEC/USDT,61.44000000,62.31000000,59.51000000,61.48000000,171402.91055000,10476504.04016500,29829
1601942400000,2020-10-06 00:00:00,ZEC/USDT,65.82000000,66.30000000,60.08000000,61.48000000,199666.40951000,12591372.04591400,37204
1601856000000,2020-10-05 00:00:00,ZEC/USDT,63.11000000,66.16000000,61.76000000,65.76000000,159715.47042000,10170899.22498070,25784
1601769600000,2020-10-04 00:00:00,ZEC/USDT,60.74000000,63.53000000,59.03000000,63.12000000,149322.46178000,9186545.96587390,27080
1601683200000,2020-10-03 00:00:00,ZEC/USDT,63.86000000,63.94000000,60.45000000,60.73000000,175228.70236000,10973073.65872550,26952
1601596800000,2020-10-02 00:00:00,ZEC/USDT,64.65000000,66.52000000,58.41000000,63.85000000,401879.68303000,25101419.59296160,64309
1601510400000,2020-10-01 00:00:00,ZEC/USDT,64.10000000,68.49000000,61.87000000,64.67000000,406945.65072000,26642060.60571660,70744
1601424000000,2020-09-30 00:00:00,ZEC/USDT,61.26000000,64.62000000,59.54000000,64.10000000,214341.47178000,13185001.06286790,38638
1601337600000,2020-09-29 00:00:00,ZEC/USDT,56.20000000,62.30000000,55.97000000,61.25000000,248650.62367000,14662731.95341470,44700
1601251200000,2020-09-28 00:00:00,ZEC/USDT,55.56000000,58.39000000,55.54000000,56.22000000,199049.84798000,11348318.12651260,32586
1601164800000,2020-09-27 00:00:00,ZEC/USDT,56.18000000,56.91000000,53.70000000,55.55000000,141064.00212000,7787454.35717500,23950
1601078400000,2020-09-26 00:00:00,ZEC/USDT,54.87000000,56.85000000,54.01000000,56.20000000,120486.23365000,6648648.65677490,21775
1600992000000,2020-09-25 00:00:00,ZEC/USDT,55.14000000,55.97000000,53.35000000,54.87000000,137930.71944000,7532982.37745780,23701
1600905600000,2020-09-24 00:00:00,ZEC/USDT,51.85000000,55.37000000,51.17000000,55.16000000,158714.61484000,8513867.32889380,23957
1600819200000,2020-09-23 00:00:00,ZEC/USDT,53.31000000,53.86000000,50.31000000,51.84000000,131560.72921000,6884306.67279550,23088
1600732800000,2020-09-22 00:00:00,ZEC/USDT,51.62000000,54.03000000,51.14000000,53.31000000,138306.25818000,7294774.96504210,23849
1600646400000,2020-09-21 00:00:00,ZEC/USDT,57.60000000,58.50000000,51.55000000,51.63000000,181717.39859000,9915269.00045170,34715
1600560000000,2020-09-20 00:00:00,ZEC/USDT,57.97000000,58.17000000,55.17000000,57.60000000,179309.58211000,10210209.68171540,27885
1600473600000,2020-09-19 00:00:00,ZEC/USDT,57.89000000,59.33000000,57.30000000,57.97000000,108482.12058000,6312806.93269070,17347
1600387200000,2020-09-18 00:00:00,ZEC/USDT,59.65000000,59.92000000,57.05000000,57.90000000,136403.51744000,7995785.78796530,23051
1600300800000,2020-09-17 00:00:00,ZEC/USDT,58.35000000,60.03000000,57.38000000,59.65000000,142090.02482000,8335645.78803390,28374
1600214400000,2020-09-16 00:00:00,ZEC/USDT,59.37000000,59.44000000,56.89000000,58.34000000,224350.22099000,13019610.70498500,43331
1600128000000,2020-09-15 00:00:00,ZEC/USDT,63.24000000,65.00000000,58.68000000,59.40000000,190500.29798000,11827138.64344540,38548
1600041600000,2020-09-14 00:00:00,ZEC/USDT,62.54000000,64.29000000,60.80000000,63.28000000,144946.79814000,9101583.70763690,28825
1599955200000,2020-09-13 00:00:00,ZEC/USDT,65.70000000,66.31000000,60.93000000,62.54000000,203598.27766000,12904858.00425140,39577
1599868800000,2020-09-12 00:00:00,ZEC/USDT,63.32000000,66.98000000,62.12000000,65.68000000,231042.27451000,14844764.77060640,37840
1599782400000,2020-09-11 00:00:00,ZEC/USDT,62.07000000,63.87000000,58.69000000,63.32000000,264786.50906000,16228741.09203620,45213
1599696000000,2020-09-10 00:00:00,ZEC/USDT,59.93000000,62.83000000,59.70000000,62.07000000,224790.91893000,13760251.77151740,38480
1599609600000,2020-09-09 00:00:00,ZEC/USDT,58.63000000,61.41000000,57.35000000,59.92000000,184798.92524000,11053900.02754900,30116
1599523200000,2020-09-08 00:00:00,ZEC/USDT,61.86000000,64.34000000,56.72000000,58.69000000,424574.39987000,25593848.34270200,65746
